# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation
AF9,C450SM550PM450,4228.4,2466.4,0.0
AF11,C450SM550PM450,4291.2,2466.4,0.0
AF13,C450SM550PM450,4353.9,2466.4,0.0
AF15,C450SM550PM450,4416.6,2466.4,0.0
AF17,C450SM550PM450,4479.4,2466.4,0.0
AF19,C450SM550PM450,4542.1,2466.4,0.0
AF21,C450SM550PM450,4604.9,2466.4,0.0
AF23,C450SM550PM450,4667.6,2466.4,0.0
AF25,C450SM550PM450,4730.3,2466.4,0.0
AF27,C450SM550PM450,4793.1,2466.4,0.0
AF29,C450SM550PM450,4855.8,2466.4,0.0
AF31,C450SM550PM450,4918.5,2466.4,0.0
AF33,C450SM550PM450,4981.3,2466.4,0.0
AF35,C450SM550PM450,5044.0,2466.4,0.0
AF37,C450SM550PM450,5106.7,2466.4,0.0
AF39,C450SM550PM450,5169.5,2466.4,0.0
AF41,C450SM550PM450,5232.2,2466.4,0.0
AF43,C450SM550PM450,5295.0,2466.4,0.0
AF45,C450SM550PM450,5357.7,2466.4,0.0
AF47,C450SM550PM450,5420.4,2466.4,0.0
AF49,C450SM550PM450,5483.2,2466.4,0.0
AF51,C450SM550PM450,5545.9,2466.4,0.0
AF53,C450SM550PM450,5608.6,2466.4,0.0
AF55,C450SM550PM450,5671.4,2466.4,0.0
AF57,C450SM550PM450,5734.1,2466.4,0.0
AF59,C450SM550PM450,5796.8,2466.4,0.0
AF61,C450SM550PM450,5859.6,2466.4,0.0
AF63,C450SM550PM450,5922.3,2466.4,0.0
AF65,C450SM550PM450,5985.1,2466.4,0.0
AF67,C450SM550PM450,6047.8,2466.4,0.0
AF69,C450SM550PM450,6110.5,2466.4,0.0
AG2,C450SM550PM450,4008.9,2448.3,0.0
AG4,C450SM550PM450,4071.6,2448.3,0.0
AG6,C450SM550PM450,4134.3,2448.3,0.0
AG8,C450SM550PM450,4197.1,2448.3,0.0
AG10,C450SM550PM450,4259.8,2448.3,0.0
AG12,C450SM550PM450,4322.5,2448.3,0.0
AG14,C450SM550PM450,4385.3,2448.3,0.0
AG16,C450SM550PM450,4448.0,2448.3,0.0
AG18,C450SM550PM450,4510.8,2448.3,0.0
AG20,C450SM550PM450,4573.5,2448.3,0.0
AG22,C450SM550PM450,4636.2,2448.3,0.0
AG24,C450SM550PM450,4699.0,2448.3,0.0
AG26,C450SM550PM450,4761.7,2448.3,0.0
AG28,C450SM550PM450,4824.4,2448.3,0.0
AG30,C450SM550PM450,4887.2,2448.3,0.0
AG32,C450SM550PM450,4949.9,2448.3,0.0
AG34,C450SM550PM450,5012.6,2448.3,0.0
AG36,C450SM550PM450,5075.4,2448.3,0.0
AG38,C450SM550PM450,5138.1,2448.3,0.0
AG40,C450SM550PM450,5200.9,2448.3,0.0
AG42,C450SM550PM450,5263.6,2448.3,0.0
AG44,C450SM550PM450,5326.3,2448.3,0.0
AG46,C450SM550PM450,5389.1,2448.3,0.0
AG48,C450SM550PM450,5451.8,2448.3,0.0
AG50,C450SM550PM450,5514.5,2448.3,0.0
AG52,C450SM550PM450,5577.3,2448.3,0.0
AG54,C450SM550PM450,5640.0,2448.3,0.0
AG56,C450SM550PM450,5702.7,2448.3,0.0
AG58,C450SM550PM450,5765.5,2448.3,0.0
AG60,C450SM550PM450,5828.2,2448.3,0.0
AG62,C450SM550PM450,5890.9,2448.3,0.0
AG64,C450SM550PM450,5953.7,2448.3,0.0
AG66,C450SM550PM450,6016.4,2448.3,0.0
AG68,C450SM550PM450,6079.2,2448.3,0.0
AH1,C450SM550PM450,3977.5,2430.2,0.0
AH3,C450SM550PM450,4040.2,2430.2,0.0
AH5,C450SM550PM450,4103.0,2430.2,0.0
AH7,C450SM550PM450,4165.7,2430.2,0.0
AH9,C450SM550PM450,4228.4,2430.2,0.0
AH11,C450SM550PM450,4291.2,2430.2,0.0
AH13,C450SM550PM450,4353.9,2430.2,0.0
AH15,C450SM550PM450,4416.6,2430.2,0.0
AH17,C450SM550PM450,4479.4,2430.2,0.0
AH19,C450SM550PM450,4542.1,2430.2,0.0
AH21,C450SM550PM450,4604.9,2430.2,0.0
AH23,C450SM550PM450,4667.6,2430.2,0.0
AH25,C450SM550PM450,4730.3,2430.2,0.0
AH27,C450SM550PM450,4793.1,2430.2,0.0
AH29,C450SM550PM450,4855.8,2430.2,0.0
AH31,C450SM550PM450,4918.5,2430.2,0.0
AH33,C450SM550PM450,4981.3,2430.2,0.0
AH35,C450SM550PM450,5044.0,2430.2,0.0
AH37,C450SM550PM450,5106.7,2430.2,0.0
AH39,C450SM550PM450,5169.5,2430.2,0.0
AH41,C450SM550PM450,5232.2,2430.2,0.0
AH43,C450SM550PM450,5295.0,2430.2,0.0
AH45,C450SM550PM450,5357.7,2430.2,0.0
AH47,C450SM550PM450,5420.4,2430.2,0.0
AH49,C450SM550PM450,5483.2,2430.2,0.0
AH51,C450SM550PM450,5545.9,2430.2,0.0
AH53,C450SM550PM450,5608.6,2430.2,0.0
AH55,C450SM550PM450,5671.4,2430.2,0.0
AH57,C450SM550PM450,5734.1,2430.2,0.0
AH59,C450SM550PM450,5796.8,2430.2,0.0
AH61,C450SM550PM450,5859.6,2430.2,0.0
AH63,C450SM550PM450,5922.3,2430.2,0.0
AH65,C450SM550PM450,5985.1,2430.2,0.0
AH67,C450SM550PM450,6047.8,2430.2,0.0
AH69,C450SM550PM450,6110.5,2430.2,0.0
AJ2,C450SM550PM450,4008.9,2412.1,0.0
AJ4,C450SM550PM450,4071.6,2412.1,0.0
AJ6,C450SM550PM450,4134.3,2412.1,0.0
AJ8,C450SM550PM450,4197.1,2412.1,0.0
AJ10,C450SM550PM450,4259.8,2412.1,0.0
AJ12,C450SM550PM450,4322.5,2412.1,0.0
AJ14,C450SM550PM450,4385.3,2412.1,0.0
AJ16,C450SM550PM450,4448.0,2412.1,0.0
AJ18,C450SM550PM450,4510.8,2412.1,0.0
AJ20,C450SM550PM450,4573.5,2412.1,0.0
AJ22,C450SM550PM450,4636.2,2412.1,0.0
AJ24,C450SM550PM450,4699.0,2412.1,0.0
AJ26,C450SM550PM450,4761.7,2412.1,0.0
AJ28,C450SM550PM450,4824.4,2412.1,0.0
AJ30,C450SM550PM450,4887.2,2412.1,0.0
AJ32,C450SM550PM450,4949.9,2412.1,0.0
AJ34,C450SM550PM450,5012.6,2412.1,0.0
AJ36,C450SM550PM450,5075.4,2412.1,0.0
AJ38,C450SM550PM450,5138.1,2412.1,0.0
AJ40,C450SM550PM450,5200.9,2412.1,0.0
AJ42,C450SM550PM450,5263.6,2412.1,0.0
AJ44,C450SM550PM450,5326.3,2412.1,0.0
AJ46,C450SM550PM450,5389.1,2412.1,0.0
AJ48,C450SM550PM450,5451.8,2412.1,0.0
AJ50,C450SM550PM450,5514.5,2412.1,0.0
AJ52,C450SM550PM450,5577.3,2412.1,0.0
AJ54,C450SM550PM450,5640.0,2412.1,0.0
AJ56,C450SM550PM450,5702.7,2412.1,0.0
AJ58,C450SM550PM450,5765.5,2412.1,0.0
AJ60,C450SM550PM450,5828.2,2412.1,0.0
AJ62,C450SM550PM450,5890.9,2412.1,0.0
AJ64,C450SM550PM450,5953.7,2412.1,0.0
AJ66,C450SM550PM450,6016.4,2412.1,0.0
AJ68,C450SM550PM450,6079.2,2412.1,0.0
AK1,C450SM550PM450,3977.5,2394.0,0.0
AK3,C450SM550PM450,4040.2,2394.0,0.0
AK5,C450SM550PM450,4103.0,2394.0,0.0
AK7,C450SM550PM450,4165.7,2394.0,0.0
AK9,C450SM550PM450,4228.4,2394.0,0.0
AK11,C450SM550PM450,4291.2,2394.0,0.0
AK13,C450SM550PM450,4353.9,2394.0,0.0
AK15,C450SM550PM450,4416.6,2394.0,0.0
AK17,C450SM550PM450,4479.4,2394.0,0.0
AK19,C450SM550PM450,4542.1,2394.0,0.0
AK21,C450SM550PM450,4604.9,2394.0,0.0
AK23,C450SM550PM450,4667.6,2394.0,0.0
AK25,C450SM550PM450,4730.3,2394.0,0.0
AK27,C450SM550PM450,4793.1,2394.0,0.0
AK29,C450SM550PM450,4855.8,2394.0,0.0
AK31,C450SM550PM450,4918.5,2394.0,0.0
AK33,C450SM550PM450,4981.3,2394.0,0.0
AK35,C450SM550PM450,5044.0,2394.0,0.0
AK37,C450SM550PM450,5106.7,2394.0,0.0
AK39,C450SM550PM450,5169.5,2394.0,0.0
AK41,C450SM550PM450,5232.2,2394.0,0.0
AK43,C450SM550PM450,5295.0,2394.0,0.0
AK45,C450SM550PM450,5357.7,2394.0,0.0
AK47,C450SM550PM450,5420.4,2394.0,0.0
AK49,C450SM550PM450,5483.2,2394.0,0.0
AK51,C450SM550PM450,5545.9,2394.0,0.0
AK53,C450SM550PM450,5608.6,2394.0,0.0
AK55,C450SM550PM450,5671.4,2394.0,0.0
AK57,C450SM550PM450,5734.1,2394.0,0.0
AK59,C450SM550PM450,5796.8,2394.0,0.0
AK61,C450SM550PM450,5859.6,2394.0,0.0
AK63,C450SM550PM450,5922.3,2394.0,0.0
AK65,C450SM550PM450,5985.1,2394.0,0.0
AK67,C450SM550PM450,6047.8,2394.0,0.0
AK69,C450SM550PM450,6110.5,2394.0,0.0
AL2,C450SM550PM450,4008.9,2375.9,0.0
AL4,C450SM550PM450,4071.6,2375.9,0.0
AL6,C450SM550PM450,4134.3,2375.9,0.0
AL8,C450SM550PM450,4197.1,2375.9,0.0
AL10,C450SM550PM450,4259.8,2375.9,0.0
AL12,C450SM550PM450,4322.5,2375.9,0.0
AL14,C450SM550PM450,4385.3,2375.9,0.0
AL16,C450SM550PM450,4448.0,2375.9,0.0
AL18,C450SM550PM450,4510.8,2375.9,0.0
AL20,C450SM550PM450,4573.5,2375.9,0.0
AL22,C450SM550PM450,4636.2,2375.9,0.0
AL24,C450SM550PM450,4699.0,2375.9,0.0
AL26,C450SM550PM450,4761.7,2375.9,0.0
AL28,C450SM550PM450,4824.4,2375.9,0.0
AL30,C450SM550PM450,4887.2,2375.9,0.0
AL32,C450SM550PM450,4949.9,2375.9,0.0
AL34,C450SM550PM450,5012.6,2375.9,0.0
AL36,C450SM550PM450,5075.4,2375.9,0.0
AL38,C450SM550PM450,5138.1,2375.9,0.0
AL40,C450SM550PM450,5200.9,2375.9,0.0
AL42,C450SM550PM450,5263.6,2375.9,0.0
AL44,C450SM550PM450,5326.3,2375.9,0.0
AL46,C450SM550PM450,5389.1,2375.9,0.0
AL48,C450SM550PM450,5451.8,2375.9,0.0
AL50,C450SM550PM450,5514.5,2375.9,0.0
AL52,C450SM550PM450,5577.3,2375.9,0.0
AL54,C450SM550PM450,5640.0,2375.9,0.0
AL56,C450SM550PM450,5702.7,2375.9,0.0
AL58,C450SM550PM450,5765.5,2375.9,0.0
AL60,C450SM550PM450,5828.2,2375.9,0.0
AL62,C450SM550PM450,5890.9,2375.9,0.0
AL64,C450SM550PM450,5953.7,2375.9,0.0
AL66,C450SM550PM450,6016.4,2375.9,0.0
AL68,C450SM550PM450,6079.2,2375.9,0.0
AM1,C450SM550PM450,3977.5,2357.8,0.0
AM3,C450SM550PM450,4040.2,2357.8,0.0
AM5,C450SM550PM450,4103.0,2357.8,0.0
AM7,C450SM550PM450,4165.7,2357.8,0.0
AM9,C450SM550PM450,4228.4,2357.8,0.0
AM11,C450SM550PM450,4291.2,2357.8,0.0
AM13,C450SM550PM450,4353.9,2357.8,0.0
AM15,C450SM550PM450,4416.6,2357.8,0.0
AM17,C450SM550PM450,4479.4,2357.8,0.0
AM19,C450SM550PM450,4542.1,2357.8,0.0
AM21,C450SM550PM450,4604.9,2357.8,0.0
AM23,C450SM550PM450,4667.6,2357.8,0.0
AM25,C450SM550PM450,4730.3,2357.8,0.0
AM27,C450SM550PM450,4793.1,2357.8,0.0
AM29,C450SM550PM450,4855.8,2357.8,0.0
AM31,C450SM550PM450,4918.5,2357.8,0.0
AM33,C450SM550PM450,4981.3,2357.8,0.0
AM35,C450SM550PM450,5044.0,2357.8,0.0
AM37,C450SM550PM450,5106.7,2357.8,0.0
AM39,C450SM550PM450,5169.5,2357.8,0.0
AM41,C450SM550PM450,5232.2,2357.8,0.0
AM43,C450SM550PM450,5295.0,2357.8,0.0
AM45,C450SM550PM450,5357.7,2357.8,0.0
AM47,C450SM550PM450,5420.4,2357.8,0.0
AM49,C450SM550PM450,5483.2,2357.8,0.0
AM51,C450SM550PM450,5545.9,2357.8,0.0
AM53,C450SM550PM450,5608.6,2357.8,0.0
AM55,C450SM550PM450,5671.4,2357.8,0.0
AM57,C450SM550PM450,5734.1,2357.8,0.0
AM59,C450SM550PM450,5796.8,2357.8,0.0
AM61,C450SM550PM450,5859.6,2357.8,0.0
AM63,C450SM550PM450,5922.3,2357.8,0.0
AM65,C450SM550PM450,5985.1,2357.8,0.0
AM67,C450SM550PM450,6047.8,2357.8,0.0
AM69,C450SM550PM450,6110.5,2357.8,0.0
AN2,C450SM550PM450,4008.9,2339.7,0.0
AN4,C450SM550PM450,4071.6,2339.7,0.0
AN6,C450SM550PM450,4134.3,2339.7,0.0
AN8,C450SM550PM450,4197.1,2339.7,0.0
AN10,C450SM550PM450,4259.8,2339.7,0.0
AN12,C450SM550PM450,4322.5,2339.7,0.0
AN14,C450SM550PM450,4385.3,2339.7,0.0
AN16,C450SM550PM450,4448.0,2339.7,0.0
AN18,C450SM550PM450,4510.8,2339.7,0.0
AN20,C450SM550PM450,4573.5,2339.7,0.0
AN22,C450SM550PM450,4636.2,2339.7,0.0
AN24,C450SM550PM450,4699.0,2339.7,0.0
AN26,C450SM550PM450,4761.7,2339.7,0.0
AN28,C450SM550PM450,4824.4,2339.7,0.0
AN30,C450SM550PM450,4887.2,2339.7,0.0
AN32,C450SM550PM450,4949.9,2339.7,0.0
AN34,C450SM550PM450,5012.6,2339.7,0.0
AN36,C450SM550PM450,5075.4,2339.7,0.0
